아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,2019.7.11,12월,이윤석,http://www.i-screamedu.co.kr,서울특별시
펌텍코리아,251970,플라스틱제품 제조업,화장품 용기,2019.7.4,12월,"이재신, 이도훈",http://www.pum-tech.co.kr,인천광역시
에이에프더블류,312610,일차전지 및 축전지 제조업,음극마찰용접단자,2019.7.1,12월,김명훈,http://www.asanfw.com,경상북도
태성,323280,특수 목적용 기계 제조업,기업인수 및 합병,2019.6.24,12월,김종학,,경기도
엠에프엠코리아,323230,편조의복 제조업,"남성,여성,남아,여아용 면의류",2019.6.19,12월,김현욱,http://www.mfmkorea.com,서울특별시
압타바이오,293780,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약",2019.6.12,12월,이수진,http://www.aptabio.com,경기도
까스텔바작,308100,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,2019.6.10,12월,최준호,http://www.castelbajac.com,인천광역시
마이크로디지탈,305090,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",2019.6.5,12월,김경남,http://www.md-best.com,경기도
코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작,2019.5.31,12월,오영섭,,서울특별시
프로이천,321260,반도체 제조업,합병,2019.5.31,12월,임이빈,,경기도
수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019.5.28,12월,손미진,http://www.sugentech.com,대전광역시
컴퍼니케이,307930,기타 금융업,중소 벤처기업 투자,2019.5.23,12월,김학범,http://www.kpartners.co.kr,서울특별시
피에스케이,319660,특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",2019.5.10,12월,이경일,http://www.pskinc.com,경기도
현대무벡스,319400,일반 목적용 기계 제조업,"물류자동화, IT서비스",2019.5.8,12월,이수강,http://www.hyundaimovex.com/,서울특별시
TS트릴리온,317240,기타 화학제품 제조업,기업인수합병,2019.4.29,12월,이남용,,서울특별시
아모그린텍,125210,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,2019.3.29,12월,"양성철, 김병규(각자대표)",http://amogreentech.co.kr,경기도
지노믹트리,228760,자연과학 및 공학 연구개발업,암 조기진단 제품,2019.3.27,12월,안성환,http://genomictree.com/ko/,대전광역시
이지케어텍,99750,소프트웨어 개발 및 공급업,의료정보시스템,2019.3.22,03월,위원량,http://www.ezcaretech.com,서울특별시
미래에셋벤처투자,100790,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019.3.15,12월,김응석,http://venture.miraeasset.co.kr,경기도
에코프로비엠,247540,일차전지 및 축전지 제조업,양극활물질,2019.3.5,12월,"각자 대표이사 주재환, 최문호",http://www.ecoprobm.co.kr,충청북도
셀리드,299660,자연과학 및 공학 연구개발업,항암면역치료백신,2019.2.20,12월,강창율,http://www.cellid.co.kr,서울특별시
천보,278280,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2019.2.11,12월,이상율,http://www.chunbochem.com/,충청북도
이노테라피,246960,의료용품 및 기타 의약 관련제품 제조업,"의료용지혈제, 밀폐제 및 접착제",2019.2.1,12월,"이경률, 선호창 (각자대표)",http://www.innotherapy.com,서울특별시
노랑풍선,104620,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",2019.1.30,12월,김진국,http://www.ybtour.com,서울특별시
웹케시,53580,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",2019.1.25,12월,강원주,http://www.webcash.co.kr,서울특별시
비피도,238200,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018.12.26,12월,"신용철, 박명수(각자대표)",http://bifido.com,강원특별자치도
유틸렉스,263050,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018.12.24,12월,"권병세, 유연호 (공동대표이사)",http://www.eutilex.com,서울특별시
디케이티,290550,전자부품 제조업,스마트폰용 FPCA,2018.12.21,12월,이지열,http://www.dtktech.co.kr/,인천광역시
아이엘사이언스,307180,전구 및 조명장치 제조업,LED용 실리콘렌즈 외,2018.12.21,12월,송성근,http://www.ilscience.co.kr,충청남도
애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송통신사업,2018.12.21,12월,전승택,http://www.aniplustv.com,서울특별시
디와이씨,310870,자동차 신품 부품 제조업,자동차 부품,2018.12.20,12월,"김용덕, 임동하(공동대표이사)",http://dycauto.com,경상북도
오하임앤컴퍼니,309930,기타 생활용품 소매업,기업인수합병,2018.12.20,12월,나형균,,서울특별시
위지윅스튜디오,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",2018.12.20,12월,"박인규, 조성완",http://www.wswgstudios.com,서울특별시
국전약품,307750,의약품 제조업,기업 인수 및 합병,2018.12.19,12월,홍종호,,경기도
에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,2018.12.19,12월,이상훈,http://www.ablbio.com,경기도
머큐리,100590,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018.12.14,12월,황 하영,,인천광역시
전진바이오팜,110020,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",2018.12.14,12월,이태훈,http://www.jjbio.co.kr,대구광역시
뉴트리,270870,기타 식품 제조업,"에버콜라겐, 지노마스터 등",2018.12.13,12월,김도언,http://www.newtree.co.kr,서울특별시
비투엔,307870,소프트웨어 개발 및 공급업,"데이터컨설팅, 품질관리 솔루션",2018.12.12,12월,안태일,http://www.b2en.com,서울특별시
이노메트리,302430,특수 목적용 기계 제조업,엑스레이검사 장비,2018.12.12,12월,이갑수,http://www.innometry.com,경기도
디에이치오토리드,290120,자동차 신품 부품 제조업,자동차 스티어링휠,2018.12.7,12월,이석근,http://www.dayouap.co.kr,전북특별자치도
에코캡,128540,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",2018.12.5,12월,최영천,http://www.ecocab.co.kr,울산광역시
원바이오젠,307280,의료용품 및 기타 의약 관련제품 제조업,"창상피복제, 습윤드레싱제",2018.12.5,12월,김원일,http://wonbiogen.co.kr,경상북도
베스파,299910,소프트웨어 개발 및 공급업,모바일게임,2018.12.3,12월,김제봉,http://www.vespainteractive.com/,서울특별시
윙입푸드,900340,기타 금융업,육가공 제품,2018.11.30,12월,왕현도,http://wingyip-food.com,홍콩
남화산업,111710,스포츠 서비스업,골프장 서비스,2018.11.29,12월,"최재훈, 최영곤 (공동대표이사)",http://www.muangc.co.kr,전라남도
엠아이텍,179290,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,2018.11.29,12월,박진형,http://www.mitech.co.kr,경기도
티로보틱스,117730,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",2018.11.29,12월,안승욱,http://www.t-robotics.net/,경기도
네오펙트,290660,의료용 기기 제조업,라파엘스마트글러브 외,2018.11.28,12월,반호영,http://www.neofect.com,경기도
티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",2018.11.28,12월,윤원수,http://www.tnrbiofab.com,경기도
디알젬,263690,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018.11.22,12월,박정병,http://www.drgem.co.kr,경기도
싸이토젠,217330,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼,2018.11.22,12월,전병희,http://cytogenlab.com,서울특별시
아주IB투자,27360,기타 금융업,,2018.11.21,12월,김지원,http://www.ajuib.co.kr,서울특별시
파멥신,208340,의약품 제조업,항체치료제,2018.11.21,12월,김정규,http://www.pharmabcine.com/,대전광역시
디케이앤디,263020,플라스틱제품 제조업,합성피혁 및 부직포,2018.11.20,12월,최민석,http://www.dknd.co.kr,경기도
에이치앤비디자인,227100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",스마트 액세서리(보조배터리 등),2018.11.15,12월,김준성,http://designcorp.co.kr,서울특별시
노바렉스,194700,기타 식품 제조업,건강기능식품 제조,2018.11.14,12월,권석형,http://www.novarex.co.kr,충청북도
셀리버리,268600,자연과학 및 공학 연구개발업,바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약,2018.11.9,12월,조대웅,http://www.cellivery.com,서울특별시
대보마그네틱,290670,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018.11.6,12월,이준각,http://www.daebo.com,경기도
노바텍,285490,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",2018.11.2,12월,오춘택,http://www.mynovatech.com,경기도
엘앤씨바이오,290650,의약품 제조업,"인체조직(피부, 뼈, 연골)",2018.11.1,12월,이환철,http://www.lncbio.co.kr,경기도
네온테크,306620,특수 목적용 기계 제조업,기업인수합병,2018.10.31,12월,황성일,,경기도
로보티즈,108490,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",2018.10.26,12월,김병수,,서울특별시
옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,"옵티케어,메디피그 등",2018.10.26,12월,김현일,http://www.optipharm.co.kr,충청북도
에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2018.10.15,12월,홍성민 (단독대표이사),http://www.s-fuelcell.com/,경기도
나우IB,293580,기타 금융업,"투자조합, PEF 결성 및 투자",2018.10.4,12월,이승원,http://www.nauib.com,서울특별시
푸드나무,290720,무점포 소매업,,2018.10.4,12월,김영문,http://www.foodnamoo.com,서울특별시
크리스에프앤씨,110790,봉제의복 제조업,골프웨어,2018.10.1,12월,"우진석, 김한흠 (각자대표)",http://www.creas.co.kr,서울특별시
더블유에스아이,299170,생활용품 도매업,기업인수합병,2018.9.21,12월,이윤석,,서울특별시
지티지웰니스,219750,의료용 기기 제조업,의료기기 및 미용기기,2018.9.21,12월,최완규,http://www.gtgwellness.co.kr,경기도
엔피,291230,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스",2018.9.13,12월,"박지복, 송방호",http://www.npinc.co.kr/,서울특별시
피엔티엠에스,257370,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018.9.13,12월,김준섭,http://www.ms-mc.co.kr,대구광역시
디지캡,197140,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등",2018.9.7,12월,한승우,http://www.digicaps.com,서울특별시
지니틱스,303030,반도체 제조업,반도체 IC,2018.8.30,12월,남화성,http://www.zinitix.com,경기도
액트로,290740,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,2018.8.28,12월,하동길,http://www.actro.co.kr,경기도
오파스넷,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수,2018.8.24,12월,장수현,http://www.opasnet.co.kr,서울특별시
에이피티씨,89970,특수 목적용 기계 제조업,300mm Poly Etch System,2018.8.23,12월,"최우형, 강영수 (각자 대표이사)",http://www.iaptc.com/,경기도
바이오솔루션,86820,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등",2018.8.20,12월,장송선,http://www.biosolutions.co.kr/,서울특별시
대유,290380,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",2018.8.10,12월,정치훈,http://www.dae-yu.co.kr,서울특별시
디아이티,110990,특수 목적용 기계 제조업,평판디스플레이 검사장비,2018.8.7,12월,박종철,http://www.okdit.co.kr,경기도
에스에스알,275630,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",2018.8.6,12월,고필주,http://www.ssrinc.co.kr,서울특별시
휴네시온,290270,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),2018.8.2,12월,정동섭,http://www.hunesion.com,서울특별시
한국유니온제약,80720,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",2018.7.26,12월,백병하,http://www.ukp.co.kr/,강원특별자치도
그리티,204020,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",2018.7.23,12월,문영우,http://www.gritees.com,서울특별시
알로이스,297570,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,2018.7.20,12월,권충식,http://www.aloys.co.kr,경기도
올릭스,226950,자연과학 및 공학 연구개발업,siRNA 신약 개발,2018.7.18,12월,이동기,http://www.olixpharma.com,경기도
아이큐어,175250,의약품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",2018.7.12,12월,이영석,http://icure.co.kr,서울특별시
SV인베스트먼트,289080,기타 금융업,중소/벤처기업 투자 및 육성,2018.7.6,03월,"박성호, 홍원호",http://www.svinvest.com,서울특별시
EDGC,245620,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018.6.26,12월,대표이사 이민섭,http://www.edgc.com,인천광역시
카이노스메드,284620,자연과학 및 공학 연구개발업,기업인수합병,2018.6.8,12월,이기섭,http://www.kainosmedicine.com,경기도
파워넷,37030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2018.6.7,12월,"김상우, 이돈주(각자대표)",http://www.gopowernet.com,서울특별시
카나리아바이오,16790,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료",2018.6.1,12월,나 한 익,http://www.canariabio.com,충청남도
세종메디칼,258830,의료용 기기 제조업,복강경수술용 투관침 등,2018.5.29,12월,김병성,http://www.sejongmedical.com,경기도
제노레이,122310,의료용 기기 제조업,의료용 방사선 진단기기,2018.5.28,12월,박병욱,http://www.genoray.com,경기도
제이시스메디칼,287410,의료용 기기 제조업,미용의료기기,2018.5.8,12월,강동환,http://www.jeisys.com/,서울특별시
JTC,950170,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018.4.6,02월,구철모,http://www.groupjtc.com/korean/,일본
네오셈,253590,특수 목적용 기계 제조업,반도체 검사장비,2018.4.4,12월,염동현,http://www.neosem.com,경기도
케어랩스,263700,광고업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",2018.3.28,12월,신종현,http://carelabs.co.kr,서울특별시
린드먼아시아,277070,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",2018.3.14,12월,김진하,http://www.laic.kr,서울특별시
오스테오닉,226400,의료용 기기 제조업,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트,2018.2.22,12월,이동원,http://www.osteonic.com,서울특별시
엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품",2018.2.21,12월,손기영,http://www.enzychem.co.kr,충청북도
동구바이오제약,6620,의약품 제조업,"피부, 비뇨기과 완제의약품",2018.2.13,12월,조용준,http://www.dongkoo.com,서울특별시
아시아종묘,154030,작물 재배업,종자,2018.2.12,09월,류경오,http://www.asiaseed.kr,서울특별시
알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,2018.2.12,12월,이항구,http://www.arlico.co.kr,서울특별시
카페24,42000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","쇼핑몰솔루션, 광고솔루션, 호스팅솔루션",2018.2.8,12월,이재석,http://www.cafe24.com,서울특별시
링크제니시스,219420,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)",2018.2.5,12월,정성우,http://www.linkgenesis.co.kr,경기도
배럴,267790,봉제의복 제조업,래쉬가드 및 워터스포츠 등,2018.2.1,12월,박영준,http://www.getbarrel.com,서울특별시
SG,255220,기타 비금속 광물제품 제조업,"아스콘, 레미콘",2018.1.26,12월,박창호,http://sgholdings.co.kr,인천광역시
씨앤지하이테크,264660,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",2018.1.25,12월,"홍사문, 홍중선 (각자 대표이사)",http://www.cnghitech.com,경기도
시스웍,269620,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등",2017.12.26,12월,이종원,http://www.syswork.co.kr,대전광역시
디바이스이엔지,187870,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비,2017.12.20,12월,"최봉진, 방인호 각자대표",http://www.deviceeng.co.kr,충청남도
레이크머티리얼즈,281740,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매",2017.12.12,12월,김진동,http://www.lake-led.com,세종특별자치시
씨티케이,260930,기타 화학제품 제조업,완제 화장품 (색조 및 기초),2017.12.7,12월,정인용,http://www.ctkcosmetics.com,서울특별시
메카로,241770,반도체 제조업,반도체용 전구체 및 히터블록,2017.12.6,12월,"이재정, 박영순 (각자대표)",http://www.mecaro.com,경기도
에스트래픽,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","교통관련 솔루션 개발, 시스템통합 S/W 개발",2017.12.5,12월,문찬종,http://www.straffic.co.kr,경기도
체리부로,66360,"도축, 육류 가공 및 저장 처리업","육계, 사료",2017.12.4,12월,김인식,http://www.cherrybro.com,충청북도
대원,7680,건물 건설업,아파트 시행 및 시공,2017.12.1,12월,전응식,http://www.daewon.co.kr,충청북도
비즈니스온,138580,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌),2017.11.30,12월,"라민상, 강민철, 이병두(공동대표이사)",http://www.businesson.co.kr,서울특별시
스튜디오드래곤,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매",2017.11.24,12월,Jeyhyun Kim,http://www.studiodragon.net,서울특별시
비디아이,148140,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",2017.11.9,12월,안승만,http://www.bdindustry.co.kr/,경기도
코오롱티슈진,950160,기초 의약물질 및 생물학적 제제 제조업,골관절염 치료제,2017.11.6,12월,"노문종, 한성수",http://tissuegene.com,미국
영화테크,265560,자동차 신품 부품 제조업,자동차 정션박스 등,2017.10.26,12월,엄준형,http://www.yhtec.com,충청남도
폴라리스세원,234100,자동차 신품 부품 제조업,자동차 공조장치 부품,2017.10.20,12월,김영관,http://www.polaris-sewon.com,경기도
상신전자,263810,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",2017.10.16,12월,김승천,http://www.sangshin-e.com,경상남도
야스,255440,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",2017.9.29,12월,강경인,http://www.yasoled.com,경기도
인산가,277410,기타 식품 제조업,죽염 및 죽염응용식품,2017.9.29,12월,김윤세,http://www.insanga.co.kr,경상남도
휴엠앤씨,263920,그외 기타 제품 제조업,"유리용기, 화장용 스펀지, 퍼프",2017.9.28,12월,김준철,http://humnc.com,인천광역시
신흥에스이씨,243840,일차전지 및 축전지 제조업,"2차전지용 안전 부품(Cap Assembly, CID)",2017.9.27,12월,황만용,http://www.shsec.co.kr,경기도
유티아이,179900,전자부품 제조업,카메라 윈도우,2017.9.27,12월,박덕영,http://www.utikorea.com,충청남도
선익시스템,171090,특수 목적용 기계 제조업,OLED 증착장비,2017.9.20,12월,"박재규, 김혜동 (각자 대표이사)",http://www.sunic.co.kr,경기도
엠플러스,259630,특수 목적용 기계 제조업,이차전지 자동화 조립설비,2017.9.20,12월,김종성,http://www.mplusi.co.kr,충청북도
앱클론,174900,의료용품 및 기타 의약 관련제품 제조업,항체의약품,2017.9.18,12월,이종서,http://www.abclon.com,서울특별시
어스앤에어로스페이스,263540,"항공기,우주선 및 부품 제조업",도어시스템,2017.9.15,12월,조동우,http://www.samcokorea.com,경상남도
펄어비스,263750,소프트웨어 개발 및 공급업,온라인게임 개발 서비스(검은사막),2017.9.14,12월,허진영,http://www.pearlabyss.com,경기도
케이피에스,256940,특수 목적용 기계 제조업,OLED 마스크 인장기,2017.9.6,12월,김하용,http://www.kpscorp.co.kr,경기도
덕우전자,263600,전자부품 제조업,카메라 모듈 부품,2017.8.28,12월,이준용,http://www.derkwoo.com,경상북도
지오릿에너지,270520,"건축기술, 엔지니어링 및 관련 기술 서비스업",지열냉난방시스템,2017.8.22,12월,"유재훈,김대진",http://genone.co.kr,경기도
케일럼,258610,"구조용 금속제품, 탱크 및 증기발생기 제조업","지열발전설비, 항공기MRO, 항공부품제조",2017.8.22,12월,최연지,http://www.ewkinc.co.kr,부산광역시
알에스오토메이션,140670,전자부품 제조업,"모션제어기, 드라이브, 에너지제어장치",2017.8.11,12월,강덕현,http://www.rsautomation.co.kr,경기도
컬러레이,900310,기타 금융업,화장품용 진주광택안료,2017.8.10,12월,줘중비아오,http://www.coloray.co.kr,홍콩
와이즈버즈,273060,광고업,광고대행,2017.8.7,12월,김종원,http://www.wisebirds.co,경기도
모트렉스,118990,자동차 신품 부품 제조업,차량용 인포테인먼트,2017.8.4,12월,이형환,http://www.motrex.co.kr,경기도
데이타솔루션,263800,기계장비 및 관련 물품 도매업,"EMC스토리지, SPSS, SI",2017.8.3,12월,"배복태, 정교중",http://www.datasolution.kr,서울특별시
지니언스,263860,소프트웨어 개발 및 공급업,"네트워크 접근 제어 솔루션(NAC), 단말기반 지능형 위협 탐지 대응 솔루션(EDR)",2017.8.2,12월,이동범,http://www.genians.co.kr/,경기도
디앤씨미디어,263720,"서적, 잡지 및 기타 인쇄물 출판업",웹소설 콘텐츠,2017.8.1,12월,최원영,http://www.dncmedia.co.kr,서울특별시
이즈미디어,181340,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",카메라모듈테스터,2017.7.26,12월,정복헌,http://www.ismedia.com,경기도
힘스,238490,특수 목적용 기계 제조업,"OLED Mask 인장기, OLED Mask 검사기 등",2017.7.20,12월,김주환,http://www.hims.co.kr,인천광역시
브이원텍,251630,특수 목적용 기계 제조업,"LCD/OLED 압흔검사기, 2차전지 검사장비",2017.7.13,12월,김선중,http://www.v-one.co.kr,경기도
아우딘퓨쳐스,227610,기타 화학제품 제조업,"기초화장품, 마스크팩 등",2017.7.12,12월,"최영욱, 나현수(각자대표)",http://www.outinco.com,서울특별시
이녹스첨단소재,272290,전자부품 제조업,"FPCB소재, 반도체 및 디스플레이 소재",2017.7.10,12월,"장경호, 김경훈(각자 대표이사)",http://www.innoxamc.com,충청남도
하림지주,3380,기타 금융업,지주사업,2017.6.30,12월,김홍국,http://www.harimholdings.co.kr,전북특별자치도
덴티스,261200,의료용 기기 제조업,임플란트외,2017.6.26,12월,심기봉,http://www.dentis.co.kr,대구광역시
나인테크,267320,특수 목적용 기계 제조업,이차전지 제조 장비,2017.6.22,12월,박근노,http://www.naintec.co.kr,경기도
보라티알,250000,음·식료품 및 담배 도매업,"유가공품, 소스류, 파스타류",2017.6.8,12월,강민석,http://www.boratr.co.kr,서울특별시
매일유업,267980,낙농제품 및 식용빙과류 제조업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",2017.6.5,12월,"김선희, 김환석(각자대표)",http://www.maeil.com,서울특별시
삼양옵틱스,225190,사진장비 및 광학기기 제조업,디지털 카메라용 교환렌즈,2017.6.2,12월,"구본욱, 신승열 (각자 대표이사)",http://www.syopt.co.kr,경상남도
이랜시스,264850,전자부품 제조업,비데도어락부품,2017.6.1,12월,심재귀,http://www.elensys.co.kr,인천광역시
필옵틱스,161580,특수 목적용 기계 제조업,디스플레이 및 반도체 제조공정용 제작,2017.6.1,12월,한기수,http://www.philoptics.com/,경기도
포인트엔지니어링,256630,기타 금속 가공제품 제조업,디스플레이 및 반도체 장비 부품,2017.5.2,12월,"안범모, 강대현",http://www.pointeng.co.kr,충청남도
하나머티리얼즈,166090,반도체 제조업,"실리콘부품, 세라믹부품, 특수가스",2017.4.28,12월,오경석,http://hanamts.com,충청남도
소프트캠프,258790,소프트웨어 개발 및 공급업,통합보안솔루션,2017.4.27,12월,배환국,http://www.softcamp.co.kr,경기도
와이엠티,251370,기초 화학물질 제조업,"PCB, 반도체 및 디스플레이 제조용 화학소재 등",2017.4.27,12월,"전성욱, 백성규",http://www.ymtechnology.com,인천광역시
AP시스템,265520,특수 목적용 기계 제조업,디스플레이 제조 장비,2017.4.7,12월,김영주,http://www.apsystems.co.kr,경기도
유에스티,263770,1차 철강 제조업,스테인레스강관,2017.4.6,12월,김종식,http://www.u-st.co.kr,경상북도
이엘피,63760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",OLED 패널검사기 등,2017.4.6,12월,이재혁,http://www.elp.co.kr,경기도
유비쿼스,264450,통신 및 방송 장비 제조업,"스위치, FTTH",2017.3.31,12월,"이상근, 이정길(공동대표)",http://www.ubiquoss.com,경기도
서진시스템,178320,통신 및 방송 장비 제조업,"통신장비부품,휴대폰부품(메탈케이스 등)",2017.3.27,12월,전동규,http://seojinsystem.net,경기도
코미코,183300,특수 목적용 기계 제조업,반도체 부품 세정 및 코팅,2017.3.23,12월,최용하,http://www.komico.com,경기도
아스타,246720,의료용품 및 기타 의약 관련제품 제조업,MALDI-TOF 질량분석기 기반 진단시스템,2017.3.20,12월,"조응준, 김양선 (각자대표이사)",http://www.astams.com,경기도
에스디생명공학,217480,기타 화학제품 제조업,"마스크팩, 기초화장품",2017.3.2,12월,김철,http://sdbiotech.co.kr,서울특별시
신신제약,2800,의약품 제조업,파스류 (신신파스 아렉스 등),2017.2.28,12월,이병기,http://www.sinsin.com,세종특별자치시
에프엔에스테크,83500,특수 목적용 기계 제조업,"OLED, LCD 제조 공정 장비",2017.2.27,12월,"김팔곤, 양상재(공동대표)",http://www.fnstech.com,충청남도
모바일어플라이언스,87260,소프트웨어 개발 및 공급업,"블랙박스, 내비게이션, HUD, ADAS",2017.2.24,12월,이재신,http://www.mobileappliance.co.kr,경기도
피씨엘,241820,의료용품 및 기타 의약 관련제품 제조업,"다중 체외진단 제품, 플랫폼서비스",2017.2.23,12월,김소연,http://www.pclchip.com,서울특별시
서플러스글로벌,140070,기계장비 및 관련 물품 도매업,"반도체 제조용 장비, 유휴기계설비 도소매",2017.1.25,12월,김정웅,http://www.surplusglobal.com,경기도
유바이오로직스,206650,의약품 제조업,"경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조",2017.1.24,12월,백영옥,http://www.eubiologics.com,서울특별시
한국비엔씨,256840,기초 의약물질 및 생물학적 제제 제조업,필러 등 생체재료의료물질 개발,2016.12.28,12월,최완규,http://www.bnckorea.co.kr,대구광역시
DSC인베스트먼트,241520,신탁업 및 집합투자업,투자조합 결성 및 투자,2016.12.19,12월,윤건수,http://www.dscinvestment.com,서울특별시
TS인베스트먼트,246690,신탁업 및 집합투자업,투자조합 결성 및 투자,2016.12.15,12월,"김웅, 변기수(각자 대표)",http://www.tsinvestment.co.kr,서울특별시
피엠티,147760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 검사용 프로브카드,2016.12.12,12월,조용호,http://pmt23.com,충청남도
애니젠,196300,기초 의약물질 및 생물학적 제제 제조업,펩타이드 바이오소재 및 아미노산 펩타이드 신약,2016.12.7,12월,김재일,http://www.anygen.com,광주광역시
유니온커뮤니티,203450,통신 및 방송 장비 제조업,지문인식출입통제기,2016.12.7,12월,신요식,http://www.unioncomm.co.kr,서울특별시
신라젠,215600,자연과학 및 공학 연구개발업,펙사벡(바이러스 항암면역치료제),2016.12.6,12월,김재경,http://www.sillajen.com,서울특별시
자비스,254120,특수 목적용 기계 제조업,자동엑스레이검사장비,2016.12.2,12월,김형철,http://www.xavis.co.kr,경기도
